UI,rwh,<bound method Misc.winfo_width of <tkinter.Tk object .>>,<bound method Misc.winfo_height of <tkinter.Tk object .>>
UI,cwh,904,504
m,A1,324,257,white
m,A2,214,150,white
m,A3,457,149,white
m,A4,220,383,white
m,A5,470,384,white
m,A6,327,149,white
m,A7,338,384,white
m,A9,460,262,white
m,A10,103,150,white
m,A11,103,261,white
m,A12,103,383,white
m,A13,569,147,white
m,A14,574,267,white
m,A15,573,380,white
m,A16,670,150,white
m,A17,675,266,white
m,A18,682,380,white
m,A19,771,151,white
m,A20,775,266,white
m,A21,779,380,white
m,A22,208,261,white
n,A1,A3,5,1
n,A2,A1,10,1
n,A1,A12,25,1
n,A1,A9,55,1
n,A6,A1,15,1
n,A1,A7,2,1
n,A1,A22,15,1
n,A2,A1,10,1
n,A22,A2,2,1
n,A10,A2,2,1
n,A2,A6,10,1
n,A1,A3,5,1
n,A9,A3,2,1
n,A3,A13,50,1
n,A6,A3,2,1
n,A12,A4,5,1
n,A4,A7,10,1
n,A7,A5,25,1
n,A5,A15,10,1
n,A6,A1,15,1
n,A2,A6,10,1
n,A6,A3,2,1
n,A7,A14,5,1
n,A7,A9,10,1
n,A22,A7,10,1
n,A1,A7,2,1
n,A4,A7,10,1
n,A7,A5,25,1
n,A9,A15,10,1
n,A7,A9,10,1
n,A9,A13,2,1
n,A1,A9,55,1
n,A9,A3,2,1
n,A9,A14,5,1
n,A10,A22,10,1
n,A11,A10,20,1
n,A10,A2,2,1
n,A12,A11,10,1
n,A11,A10,20,1
n,A11,A22,5,1
n,A12,A11,10,1
n,A1,A12,25,1
n,A22,A12,15,1
n,A12,A4,5,1
n,A9,A13,2,1
n,A3,A13,50,1
n,A13,A14,50,1
n,A13,A16,5,1
n,A7,A14,5,1
n,A14,A16,15,1
n,A14,A21,20,1
n,A13,A14,50,1
n,A9,A14,5,1
n,A14,A15,99,1
n,A14,A17,2,1
n,A9,A15,10,1
n,A5,A15,10,1
n,A15,A18,2,1
n,A14,A15,99,1
n,A15,A17,12,1
n,A14,A16,15,1
n,A13,A16,5,1
n,A16,A19,5,1
n,A17,A16,2,1
n,A17,A19,5,1
n,A14,A17,2,1
n,A17,A16,2,1
n,A17,A20,2,1
n,A15,A17,12,1
n,A17,A21,12,1
n,A15,A18,2,1
n,A18,A21,2,1
n,A17,A19,5,1
n,A19,A20,5,1
n,A16,A19,5,1
n,A20,A21,5,1
n,A19,A20,5,1
n,A17,A20,2,1
n,A14,A21,20,1
n,A18,A21,2,1
n,A20,A21,5,1
n,A17,A21,12,1
n,A10,A22,10,1
n,A22,A7,10,1
n,A22,A12,15,1
n,A22,A2,2,1
n,A1,A22,15,1
n,A11,A22,5,1
