UI,rwh,<bound method Misc.winfo_width of <tkinter.Tk object .>>,<bound method Misc.winfo_height of <tkinter.Tk object .>>
UI,cwh,1660,981
m,A1,1090,606,white
m,A2,855,491,white
m,A3,1071,351,white
m,A4,798,635,white
m,A5,1236,575,white
m,A6,1086,171,white
m,A7,1345,744,white
m,A8,639,467,white
m,A9,1404,540,white
m,A10,631,914,white
m,A11,590,249,white
m,A12,1349,209,white
m,A13,1489,410,white
m,A14,420,751,white
m,A15,406,407,white
m,A16,799,149,white
m,A17,951,905,white
m,A18,347,594,white
m,A19,1222,251,white
m,A20,1135,838,white
m,A21,1399,358,white
n,A16,A1,20,1
n,A1,A12,10,1
n,A1,A7,15,1
n,A1,A20,25,1
n,A2,A1,15,1
n,A3,A1,10,1
n,A17,A1,5,1
n,A11,A2,25,1
n,A4,A2,15,1
n,A2,A6,18,1
n,A2,A16,20,1
n,A2,A1,15,1
n,A17,A2,10,1
n,A3,A17,10,1
n,A3,A19,50,1
n,A12,A3,10,1
n,A3,A1,10,1
n,A3,A16,10,1
n,A4,A17,5,1
n,A10,A4,10,1
n,A4,A12,10,1
n,A8,A4,15,1
n,A18,A4,8,1
n,A4,A2,15,1
n,A4,A16,10,1
n,A5,A21,5,1
n,A6,A5,25,1
n,A5,A20,10,1
n,A7,A5,15,1
n,A5,A9,5,1
n,A6,A5,25,1
n,A2,A6,18,1
n,A16,A6,10,1
n,A6,A12,25,1
n,A6,A19,10,1
n,A1,A7,15,1
n,A7,A20,15,1
n,A7,A5,15,1
n,A7,A9,20,1
n,A18,A8,5,1
n,A8,A4,15,1
n,A14,A8,5,1
n,A8,A9,5,1
n,A8,A11,10,1
n,A8,A10,5,1
n,A15,A8,15,1
n,A8,A9,5,1
n,A5,A9,5,1
n,A7,A9,20,1
n,A9,A10,5,1
n,A9,A21,2,1
n,A13,A9,2,1
n,A10,A14,10,1
n,A10,A4,10,1
n,A20,A10,15,1
n,A9,A10,5,1
n,A8,A10,5,1
n,A10,A17,5,1
n,A11,A2,25,1
n,A15,A11,10,1
n,A11,A16,5,1
n,A11,A20,99,1
n,A8,A11,10,1
n,A4,A12,10,1
n,A1,A12,10,1
n,A21,A12,5,1
n,A6,A12,25,1
n,A12,A3,10,1
n,A13,A15,20,1
n,A21,A13,2,1
n,A13,A9,2,1
n,A10,A14,10,1
n,A14,A8,5,1
n,A18,A14,15,1
n,A13,A15,20,1
n,A15,A11,10,1
n,A15,A18,2,1
n,A15,A8,15,1
n,A16,A1,20,1
n,A11,A16,5,1
n,A16,A6,10,1
n,A2,A16,20,1
n,A4,A16,10,1
n,A3,A16,10,1
n,A4,A17,5,1
n,A3,A17,10,1
n,A17,A2,10,1
n,A17,A20,5,1
n,A10,A17,5,1
n,A17,A1,5,1
n,A18,A8,5,1
n,A18,A4,8,1
n,A15,A18,2,1
n,A18,A14,15,1
n,A21,A19,20,1
n,A3,A19,50,1
n,A6,A19,10,1
n,A5,A20,10,1
n,A20,A10,15,1
n,A11,A20,99,1
n,A7,A20,15,1
n,A1,A20,25,1
n,A17,A20,5,1
n,A5,A21,5,1
n,A21,A19,20,1
n,A21,A12,5,1
n,A9,A21,2,1
n,A21,A13,2,1
